# Only Scattering events that has return times
# All data corresponds to the unified Phase=Time*angfreq. KE is unit of Up. A and P are unit of A0 and all are at the polarization axis. dt=0.01au
# BornPhase	ReturnPhaser	KE_scatter	KE_backscatter	A_birth	A_scatter	P_scatter	P_backscatter
1.573758196303291168e+00 7.663736544809142792e+00 7.377518815194594737e-02 2.905674173333718247e-01 -2.961865177811998789e-03 1.890995679001825358e-01 -1.920614330779945311e-01 3.811610009781770669e-01
1.573910074145049798e+00 7.658982334852031393e+00 7.752314567042914439e-02 3.052077149834986902e-01 -3.113742318639566627e-03 1.937658473680889393e-01 -1.968795896867285011e-01 3.906454370548174682e-01
1.574061951986808428e+00 7.654345372530201530e+00 8.126774223997437763e-02 3.198260695691700350e-01 -3.265619387642817572e-03 1.983128296588442807e-01 -2.015784490464870848e-01 3.998912787053313656e-01
1.574213829828567279e+00 7.649817547626445169e+00 8.500898327726981452e-02 3.344227144210152880e-01 -3.417496381318644097e-03 2.027486784355870264e-01 -2.061661748169056618e-01 4.089148532524927160e-01
1.574365707670325687e+00 7.645391763505490879e+00 8.874677427775924665e-02 3.489974724805138262e-01 -3.569373296163052232e-03 2.070805427704701662e-01 -2.106499160666332193e-01 4.177304588371033578e-01
1.574517585512084539e+00 7.641061193660964257e+00 9.248142522288663181e-02 3.635517583433717781e-01 -3.721250128673602754e-03 2.113152877234860949e-01 -2.150365378521597037e-01 4.263518255756457709e-01
1.574669463353843168e+00 7.636820403699913662e+00 9.621263679613208109e-02 3.780845587773185579e-01 -3.873126875346306029e-03 2.154583993539352926e-01 -2.193315262292815926e-01 4.347899255832168852e-01
1.574821341195601798e+00 7.632663963318248257e+00 9.994057456705070230e-02 3.925966940447393472e-01 -4.025003532678060603e-03 2.195153446900205418e-01 -2.235403482226986094e-01 4.430556929127191235e-01
1.574973219037360428e+00 7.628587316817237785e+00 1.036650748342963779e-01 4.070876697567909486e-01 -4.176880097165547312e-03 2.234907228180234851e-01 -2.276676029151890324e-01 4.511583257332125174e-01
1.575125096879119280e+00 7.624585949960748010e+00 1.073863113562490007e-01 4.215583208489552258e-01 -4.328756565305669039e-03 2.273890797747665504e-01 -2.317178363400722307e-01 4.591069161148387812e-01
1.575276974720877909e+00 7.620655980751479319e+00 1.111042345362396738e-01 4.360085892518335005e-01 -4.480632933594666002e-03 2.312143336399828941e-01 -2.356949665735775523e-01 4.669093002135604742e-01
1.575428852562636539e+00 7.616793669521372045e+00 1.148189675864476206e-01 4.504390946188857048e-01 -4.632509198529445420e-03 2.349702532922728349e-01 -2.396027624908022846e-01 4.745730157830750917e-01
1.575580730404395391e+00 7.612996075303843035e+00 1.185301635989623042e-01 4.648485878989778719e-01 -4.784385356606919715e-03 2.386598213920465839e-01 -2.434442067486534966e-01 4.821040281407000805e-01
1.575732608246153799e+00 7.609259763390286757e+00 1.222381792881676310e-01 4.792386014312899345e-01 -4.936261404323112265e-03 2.422864916830167747e-01 -2.472227530873398749e-01 4.895092447703566774e-01
1.575884486087912650e+00 7.605582035063246593e+00 1.259429033828260158e-01 4.936088082702264623e-01 -5.088137338175605963e-03 2.458529945860527810e-01 -2.509411319242284000e-01 4.967941265102811532e-01
1.576036363929671058e+00 7.601960156728716278e+00 1.296444586457072279e-01 5.079598032330460144e-01 -5.240013154660208214e-03 2.493620868422832815e-01 -2.546020999969434984e-01 5.039641868392267243e-01
1.576188241771429910e+00 7.598392082155174698e+00 1.333424753049762823e-01 5.222902266209250577e-01 -5.391888850274506248e-03 2.528158524211446267e-01 -2.582077412714191555e-01 5.110235936925637823e-01
1.576340119613188540e+00 7.594875130999952262e+00 1.370373775904589475e-01 5.366018576698078357e-01 -5.543764421514536453e-03 2.562169828176952269e-01 -2.617607472392097789e-01 5.179777300569049503e-01
1.576491997454947169e+00 7.591407386789875922e+00 1.407289861246622809e-01 5.508940820747889600e-01 -5.695639864877223395e-03 2.595674240213923789e-01 -2.652630638862695789e-01 5.248304879076619578e-01
1.576643875296705799e+00 7.587986790901723566e+00 1.444174040444263785e-01 5.651673999581605656e-01 -5.847515176859277401e-03 2.628692539727663369e-01 -2.687167691496256117e-01 5.315860231223920040e-01
1.576795753138464651e+00 7.584611848801802836e+00 1.481022802995260734e-01 5.794205109714910540e-01 -5.999390353957629110e-03 2.661240010510501075e-01 -2.721233914050077418e-01 5.382473924560577938e-01
1.576947630980223058e+00 7.581280252713835210e+00 1.517842330683084051e-01 5.936559459035731789e-01 -6.151265392668327052e-03 2.693339729308291686e-01 -2.754852383234974722e-01 5.448192112543266408e-01
1.577099508821981910e+00 7.577990829178630428e+00 1.554628047515139444e-01 6.078719765981115408e-01 -6.303140289488975805e-03 2.725003790135445136e-01 -2.788035193030334868e-01 5.513038983165780005e-01
1.577251386663740540e+00 7.574741915553135030e+00 1.591381524460520058e-01 6.220693036735596149e-01 -6.455015040915629103e-03 2.756248960180359142e-01 -2.820799110589515268e-01 5.577048070769874411e-01
1.577403264505499170e+00 7.571531999943635682e+00 1.628103721446797769e-01 6.362483830853978839e-01 -6.606889643445233197e-03 2.787090511526131298e-01 -2.853159407960583760e-01 5.640249919486715058e-01
1.577555142347257799e+00 7.568360187900006864e+00 1.664789703510594354e-01 6.504073376738352952e-01 -6.758764093574514895e-03 2.817537749329463437e-01 -2.885125390265208534e-01 5.702663139594672526e-01
1.577707020189016429e+00 7.565224560212225668e+00 1.701446637030944176e-01 6.645490721032106807e-01 -6.910638387800205340e-03 2.847609780776131916e-01 -2.916716164654133969e-01 5.764325945430266440e-01
1.577858898030775059e+00 7.562124288730053046e+00 1.738070438795052131e-01 6.786720412825009152e-01 -7.062512522619036545e-03 2.877315205576870816e-01 -2.947940330803061060e-01 5.825255536379931876e-01
1.578010775872533911e+00 7.559058109118019786e+00 1.774662568022203901e-01 6.927768889423026044e-01 -7.214386494527970373e-03 2.906666776923554907e-01 -2.978810641868834819e-01 5.885477418792389726e-01
1.578162653714292318e+00 7.556024924921383779e+00 1.811223292630280424e-01 7.068637857642303679e-01 -7.366260300023081374e-03 2.935675607163492629e-01 -3.009338210163723382e-01 5.945013817327216010e-01
1.578314531556051170e+00 7.553024156321447968e+00 1.847747531294474943e-01 7.209307871922243649e-01 -7.518133935602003617e-03 2.964347843999911025e-01 -3.039529183355931252e-01 6.003877027355841722e-01
1.578466409397809800e+00 7.550054117367852591e+00 1.884243579983622963e-01 7.349812319158458562e-01 -7.670007397760818593e-03 2.992700176872403750e-01 -3.069400250850011780e-01 6.062100427722415530e-01
1.578618287239568430e+00 7.547114308190687737e+00 1.920706579228180777e-01 7.490132594165327395e-01 -7.821880682996502909e-03 3.020737936356506781e-01 -3.098956743186471741e-01 6.119694679542978522e-01
1.578770165081327281e+00 7.544203713117059173e+00 1.957138175495271026e-01 7.630275776901428442e-01 -7.973753787806037510e-03 3.048471354999197080e-01 -3.128208892877257230e-01 6.176680247876454866e-01
1.578922042923085911e+00 7.541321501752574541e+00 1.993538344707361520e-01 7.770242331911365596e-01 -8.125626708685735472e-03 3.075908873278278555e-01 -3.157165140365135736e-01 6.233074013643414846e-01
1.579073920764844541e+00 7.538467300598870935e+00 2.029901996819346022e-01 7.910012707985870639e-01 -8.277499442132588148e-03 3.103054565378873253e-01 -3.185829559800198996e-01 6.288884125179072804e-01
1.579225798606603171e+00 7.535639623308227009e+00 2.066237911576622177e-01 8.049622101009841213e-01 -8.429371984643366580e-03 3.129923067783658697e-01 -3.214216787630092553e-01 6.344139855413750695e-01
1.579377676448362022e+00 7.532838105915165450e+00 2.102541756315395860e-01 8.189053920417614929e-01 -8.581244332715062123e-03 3.156518320425520385e-01 -3.242330763752671041e-01 6.398849084178190871e-01
1.579529554290120430e+00 7.530062047760536004e+00 2.138813631743234633e-01 8.328309067490297091e-01 -8.733116482843793563e-03 3.182847447834205590e-01 -3.270178612662643647e-01 6.453026060496849237e-01
1.579681432131879282e+00 7.527310731143582956e+00 2.175054229930308280e-01 8.467390764237764378e-01 -8.884988431527228794e-03 3.208917716600768744e-01 -3.297767600916041153e-01 6.506685317516809341e-01
1.579833309973637689e+00 7.524583933256502988e+00 2.211258390433848975e-01 8.606279127308366084e-01 -9.036860175261268030e-03 3.234731690294116446e-01 -3.325100292046729300e-01 6.559831982340845746e-01
1.579985187815396541e+00 7.521880315090620606e+00 2.247435289321094709e-01 8.745010831467678880e-01 -9.188731710543594777e-03 3.260302481609051450e-01 -3.352189798714487190e-01 6.612492280323538640e-01
1.580137065657155171e+00 7.519199683365071607e+00 2.283580061202280242e-01 8.883567133705880803e-01 -9.340603033870338232e-03 3.285632339673007496e-01 -3.379038370011711034e-01 6.664670709684717975e-01
1.580288943498913801e+00 7.516541374144844134e+00 2.319694054179776699e-01 9.021953796971381445e-01 -9.492474141738524440e-03 3.310727952399011853e-01 -3.405652693816397236e-01 6.716380646215408534e-01
1.580440821340672430e+00 7.513904949738980044e+00 2.355776014115091022e-01 9.160166308775901101e-01 -9.644345030644959141e-03 3.335593855810057851e-01 -3.432037306116507702e-01 6.767631161926564998e-01
1.580592699182431282e+00 7.511289845684765432e+00 2.391826578594781205e-01 9.298207608795676649e-01 -9.796215697086678789e-03 3.360235768679703527e-01 -3.458197925650570159e-01 6.818433694330273687e-01
1.580744577024189690e+00 7.508695963148379171e+00 2.427840557474648109e-01 9.436057647951281435e-01 -9.948086137559835132e-03 3.384655012463601009e-01 -3.484135873839199204e-01 6.868790886302800214e-01
1.580896454865948542e+00 7.506122085431911728e+00 2.463827629761854432e-01 9.573754998192691712e-01 -1.009995634856213770e-02 3.408863418000874224e-01 -3.509862981486495670e-01 6.918726399487369338e-01
1.581048332707707171e+00 7.503568018632607028e+00 2.499784376854432555e-01 9.711286574596753596e-01 -1.025182632658974864e-02 3.432863170790710905e-01 -3.535381434056608652e-01 6.968244604847319001e-01
1.581200210549465801e+00 7.501033492054144602e+00 2.535708543627188116e-01 9.848643875826257332e-01 -1.040369606813972697e-02 3.456657173632295965e-01 -3.560694134313693304e-01 7.017351307945989269e-01
1.581352088391224431e+00 7.498517966662198830e+00 2.571601643249724067e-01 9.985833247702015081e-01 -1.055556556970890791e-02 3.480250838837803951e-01 -3.585806494534893307e-01 7.066057333372697258e-01
1.581503966232983061e+00 7.496021051710021865e+00 2.607463426920232918e-01 1.012285408216408999e+00 -1.070743482779413711e-02 3.503648174237623536e-01 -3.610722522515564803e-01 7.114370696753188339e-01
1.581655844074741690e+00 7.493542740144095049e+00 2.643288616132357105e-01 1.025968594568496650e+00 -1.085930383889226539e-02 3.526849586747909937e-01 -3.635442625136832695e-01 7.162292211884742077e-01
1.581807721916500542e+00 7.491081906542064850e+00 2.679087305045387279e-01 1.039636897218110256e+00 -1.101117259950037085e-02 3.549865941317590368e-01 -3.659977667312593885e-01 7.209843608630184253e-01
1.581959599758258950e+00 7.488638404840687990e+00 2.714856522979551268e-01 1.053289180354255672e+00 -1.116304110611464860e-02 3.572698919345916324e-01 -3.684329330407062897e-01 7.257028249752979221e-01
1.582111477600017801e+00 7.486212123189457834e+00 2.750592928364797296e-01 1.066924161903494150e+00 -1.131490935523285501e-02 3.595349880672147336e-01 -3.708498974224475608e-01 7.303848854896622944e-01
1.582263355441776431e+00 7.483802583331870650e+00 2.786298370220976484e-01 1.080542604043590149e+00 -1.146677734335119561e-02 3.617823599778873800e-01 -3.732491373212385999e-01 7.350314972991259799e-01
1.582415233283535061e+00 7.481409466621124160e+00 2.821972664477813697e-01 1.094144467344390970e+00 -1.161864506696677450e-02 3.640123350503429167e-01 -3.756309801173096652e-01 7.396433151676525819e-01
1.582567111125293913e+00 7.479032460650368641e+00 2.857615687838459539e-01 1.107729735721730169e+00 -1.177051252257669753e-02 3.662252340036546983e-01 -3.779957465262314131e-01 7.442209805298860559e-01
1.582718988967052542e+00 7.476671633710524567e+00 2.893222076507278029e-01 1.121296329170363482e+00 -1.192237970667741481e-02 3.684210227934368032e-01 -3.803434025001142249e-01 7.487644252935510281e-01
1.582870866808811172e+00 7.474325755191195242e+00 2.928804962636751275e-01 1.134849449652687525e+00 -1.207424661576604261e-02 3.706008742528861255e-01 -3.826751208686521855e-01 7.532759951215383110e-01
1.583022744650569802e+00 7.471995213736112973e+00 2.964354747008811075e-01 1.148385348241139470e+00 -1.222611324633948726e-02 3.727644546257066205e-01 -3.849905678720461077e-01 7.577550224977527282e-01
1.583174622492328654e+00 7.469679563991573623e+00 2.999873739896403713e-01 1.161904964709858268e+00 -1.237797959489488411e-02 3.749122048854507949e-01 -3.872901844803456894e-01 7.622023893657964289e-01
1.583326500334087061e+00 7.467378542808158493e+00 3.035361793968370248e-01 1.175408270697897661e+00 -1.252984565792848032e-02 3.770443959166634440e-01 -3.895742415745919174e-01 7.666186374912553614e-01
1.583478378175845913e+00 7.465091891829327864e+00 3.070818809678821926e-01 1.188895256163755132e+00 -1.268171143193808949e-02 3.791612934615282704e-01 -3.918430048934663512e-01 7.710042983549946216e-01
