Configuration	Term	J	Prefix	Level (eV)	Suffix	Uncertainty (eV)	Lande	Reference
"5p5.(2P*<3/2>).9p"	"2[1/2]"	"1"	""	"11.662815"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9p"	"2[1/2]"	"0"	""	"11.689912"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9p"	"2[5/2]"	"2"	""	"11.668172"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9p"	"2[5/2]"	"3"	""	"11.671194"	""	""	"1.307"	"L3466"
"5p5.(2P*<3/2>).8d"	"2[1/2]*"	"0"	""	"11.6699311"	""	""	""	"L763"
"5p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"	""	"11.6827835"	""	""	"1.180"	"L9794"
"5p5.(2P*<3/2>).9p"	"2[3/2]"	"1"	""	"11.675451"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9p"	"2[3/2]"	"2"	""	"11.678101"	""	""	"1.386"	"L3466"
"5p5.(2P*<3/2>).8d"	"2[7/2]*"	"4"	""	"11.6825748"	""	""	"1.236"	"L763"
"5p5.(2P*<3/2>).8d"	"2[7/2]*"	"3"	""	"11.6904980"	""	""	"1.076"	"L763"
"5p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"	""	"11.6899309"	""	""	"1.303"	"L763"
"5p5.(2P*<3/2>).8d"	"2[3/2]*"	"1"	""	"11.7395017"	""	""	"0.914"	"L9794"
"5p5.(2P*<3/2>).8d"	"2[5/2]*"	"2"	""	"11.6965990"	""	""	"0.987"	"L763"
"5p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"	""	"11.7003882"	""	""	"1.246"	"L763"
"5p5.(2P*<3/2>).6f"	"2[3/2]"	"1"	""	"11.7456284"	""	""	"0.50"	"L763"
"5p5.(2P*<3/2>).6f"	"2[3/2]"	"2"	""	"11.7459060"	""	""	"1.09"	"L763"
"5p5.(2P*<3/2>).6f"	"2[9/2]"	"5"	""	"11.7467834"	""	""	""	"L763"
"5p5.(2P*<3/2>).6f"	"2[9/2]"	"4"	""	"11.7468479"	""	""	""	"L763"
"5p5.(2P*<3/2>).6f"	"2[5/2]"	"3"	""	"11.7485091"	""	""	"1.17"	"L763"
"5p5.(2P*<3/2>).6f"	"2[5/2]"	"2"	""	"11.7487346"	""	""	"0.87"	"L763"
"5p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"	""	"11.7487336"	""	""	"1.512"	"L763"
"5p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"	""	"11.7521006"	""	""	"1.164"	"L763"
"5p5.(2P*<3/2>).6f"	"2[7/2]"	"3"	""	"11.7499162"	""	""	""	"L763"
"5p5.(2P*<3/2>).6f"	"2[7/2]"	"4"	""	"11.7499235"	""	""	""	"L763"
"5p5.(2P*<3/2>).10p"	"2[1/2]"	"1"	""	"11.797638"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10p"	"2[1/2]"	"0"	""	"11.813966"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9d"	"2[1/2]*"	"0"	""	"11.8007639"	""	""	""	"L763"
"5p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"	""	"11.8068167"	""	""	"1.217"	"L763"
"5p5.(2P*<3/2>).10p"	"2[5/2]"	"2"	""	"11.801022"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10p"	"2[5/2]"	"3"	""	"11.802865"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10p"	"2[3/2]"	"1"	""	"11.805336"	""	""	""	"L3466"
"5p5.(2P*<3/2>).10p"	"2[3/2]"	"2"	""	"11.806964"	""	""	""	"L3466"
"5p5.(2P*<3/2>).9d"	"2[7/2]*"	"4"	""	"11.8094891"	""	""	"1.237"	"L763"
"5p5.(2P*<3/2>).9d"	"2[7/2]*"	"3"	""	"11.8135874"	""	""	"1.078"	"L763"
"5p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"	""	"11.8125220"	""	""	"1.298"	"L763"
"5p5.(2P*<3/2>).9d"	"2[3/2]*"	"1"	""	"11.840302"	""	""	"0.899"	"L3466"
"5p5.(2P*<3/2>).9d"	"2[5/2]*"	"2"	""	"11.8173556"	""	""	"0.980"	"L763"
"5p5.(2P*<3/2>).9d"	"2[5/2]*"	"3"	""	"11.8199992"	""	""	"1.225"	"L763"
"5p5.(2P*<3/2>).7f"	"2[3/2]"	"1"	""	"11.8480632"	""	""	""	"L3466"
"5p5.(2P*<3/2>).7f"	"2[3/2]"	"2"	""	"11.8482457"	""	""	""	"L763"
"5p5.(2P*<3/2>).7f"	"2[9/2]"	"5"	""	"11.848815"	""	""	""	"L3466"
"5p5.(2P*<3/2>).7f"	"2[9/2]"	"4"	""	"11.848857"	""	""	""	"L3466"
"5p5.(2P*<3/2>).7f"	"2[5/2]"	"3"	""	"11.8499088"	""	""	""	"L763"
"5p5.(2P*<3/2>).7f"	"2[5/2]"	"2"	""	"11.850063"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"	""	"11.8502809"	""	""	""	"L3466"
"5p5.(2P*<3/2>).11s"	"2[3/2]*"	"1"	""	"11.851770"	""	""	"1.188"	"L3466"
"5p5.(2P*<3/2>).7f"	"2[7/2]"	"3"	""	"11.850792"	""	""	""	"L3466"
"5p5.(2P*<3/2>).7f"	"2[7/2]"	"4"	""	"11.850801"	""	""	""	"L3466"
